Block,total_occurences,sample_occurences
minecraft:cobbled_deepslate_slab,3158,39
minecraft:stripped_warped_hyphae,12430,30
minecraft:infested_deepslate,8,1
minecraft:stripped_crimson_hyphae,808,10
minecraft:warped_nylium,952,17
minecraft:deepslate_gold_ore,681,11
minecraft:amethyst_block,1931,31
minecraft:respawn_anchor,32,6
minecraft:soul_campfire,183,20
minecraft:crimson_planks,6976,35
minecraft:medium_amethyst_bud,28,9
minecraft:large_amethyst_bud,76,16
minecraft:polished_deepslate,17775,79
minecraft:crying_obsidian,5292,28
minecraft:chiseled_polished_blackstone,5595,28
minecraft:waxed_weathered_cut_copper_slab,2243,12
minecraft:waxed_oxidized_cut_copper_slab,1693,28
minecraft:deepslate,172842,33
minecraft:honeycomb_block,3135,21
minecraft:nether_gold_ore,1914,16
minecraft:deepslate_diamond_ore,28211,9
minecraft:stripped_crimson_stem,993,11
minecraft:white_candle,238,33
minecraft:crimson_hyphae,1114,14
minecraft:cobbled_deepslate_stairs,5864,44
minecraft:warped_wart_block,9672,29
minecraft:lodestone,2875,39
minecraft:cave_vines,332,24
minecraft:cave_vines_plant,1838,23
minecraft:basalt,11045,31
minecraft:soul_lantern,2687,96
minecraft:crimson_wall_sign,430,28
minecraft:soul_wall_torch,430,23
minecraft:tinted_glass,6579,52
minecraft:chiseled_bookshelf,1226,25
minecraft:polished_deepslate_wall,2714,42
minecraft:deepslate_tile_wall,7283,51
minecraft:bamboo_button,56,3
minecraft:soul_torch,174,21
minecraft:waxed_exposed_cut_copper_stairs,326,8
minecraft:waxed_weathered_cut_copper,1296,12
minecraft:waxed_oxidized_cut_copper,4990,22
minecraft:lightning_rod,1300,60
minecraft:waxed_oxidized_copper,1998,19
minecraft:waxed_weathered_copper,1131,16
minecraft:waxed_oxidized_cut_copper_stairs,913,31
minecraft:waxed_weathered_cut_copper_stairs,3786,14
minecraft:reinforced_deepslate,2173,4
minecraft:weathered_copper,459,8
minecraft:ancient_debris,920,10
minecraft:weathered_cut_copper_stairs,509,7
minecraft:honey_block,439,17
minecraft:pearlescent_froglight,330,14
minecraft:chiseled_deepslate,1876,18
minecraft:cobbled_deepslate_wall,3293,33
minecraft:mud_brick_wall,788,22
minecraft:mud_brick_slab,1500,15
minecraft:bamboo_slab,82,5
minecraft:raw_iron_block,46011,17
minecraft:oxidized_cut_copper,1720,16
minecraft:spore_blossom,344,23
minecraft:flowering_azalea,810,40
minecraft:glow_lichen,1751,33
minecraft:red_candle,271,37
minecraft:potted_cherry_sapling,55,9
minecraft:warped_fungus,54,13
minecraft:crimson_fungus,74,13
minecraft:crimson_slab,2938,34
minecraft:bamboo_stairs,50,4
minecraft:decorated_pot,174,15
minecraft:spruce_wall_hanging_sign,5,2
minecraft:bamboo_mosaic_stairs,41,3
minecraft:mangrove_roots,4434,7
minecraft:potted_warped_fungus,103,30
minecraft:birch_wall_hanging_sign,1,1
minecraft:jungle_wall_hanging_sign,3,1
minecraft:azalea_leaves,21194,66
minecraft:potted_azalea_bush,104,23
minecraft:orange_candle,123,16
minecraft:rooted_dirt,8059,45
minecraft:potted_torchflower,12,6
minecraft:budding_amethyst,132,9
minecraft:crimson_sign,14,7
minecraft:end_gateway,977,13
minecraft:mangrove_wall_sign,404,19
minecraft:muddy_mangrove_roots,1596,6
minecraft:crimson_button,394,30
minecraft:mangrove_button,198,11
minecraft:oak_hanging_sign,3,2
minecraft:warped_sign,65,6
minecraft:azalea,506,33
minecraft:twisting_vines_plant,1010,17
minecraft:twisting_vines,192,22
minecraft:warped_stem,928,15
minecraft:weeping_vines,210,29
minecraft:weeping_vines_plant,655,25
minecraft:crimson_stem,1824,15
minecraft:chiseled_nether_bricks,1731,10
minecraft:warped_hyphae,1052,8
minecraft:crimson_nylium,3624,25
minecraft:green_candle,52,16
minecraft:potted_flowering_azalea_bush,192,36
minecraft:gray_candle,79,12
minecraft:pink_candle,24,8
minecraft:light_blue_candle,42,13
minecraft:magenta_candle,22,13
minecraft:cobbled_deepslate,31792,59
minecraft:oxidized_cut_copper_slab,1389,20
minecraft:verdant_froglight,315,9
minecraft:mangrove_sign,2,1
minecraft:birch_sapling,192,72
minecraft:packed_mud,10119,20
minecraft:cracked_polished_blackstone_bricks,10042,21
minecraft:oxidized_cut_copper_stairs,1195,29
minecraft:mud,18308,11
minecraft:mud_brick_stairs,2161,22
minecraft:dripstone_block,32669,26
minecraft:waxed_exposed_cut_copper_slab,131,7
minecraft:oxidized_copper,3658,22
minecraft:mangrove_leaves,30355,12
minecraft:mangrove_wood,5086,13
minecraft:deepslate_coal_ore,7140,9
minecraft:stripped_warped_stem,2308,15
minecraft:sculk_sensor,1043,5
minecraft:deepslate_emerald_ore,4166,6
minecraft:warped_pressure_plate,29,10
minecraft:cyan_candle,46,13
minecraft:deepslate_iron_ore,22197,6
minecraft:deepslate_copper_ore,1011,8
minecraft:deepslate_lapis_ore,279,2
minecraft:big_dripleaf,78,14
minecraft:big_dripleaf_stem,44,11
minecraft:small_dripleaf,233,14
minecraft:lime_candle,68,10
minecraft:brown_candle,178,16
minecraft:short_grass,11321,13
minecraft:piglin_head,37,6
minecraft:dead_bubble_coral_fan,131,16
minecraft:warped_fence_gate,305,22
minecraft:mangrove_pressure_plate,20,3
minecraft:purple_candle,42,6
minecraft:potted_mangrove_propagule,14,9
minecraft:sculk_vein,262,5
minecraft:oak_wall_hanging_sign,5,2
minecraft:cherry_wall_sign,23,3
minecraft:bamboo_wall_sign,27,4
minecraft:cherry_slab,162,3
minecraft:sculk,2048,4
minecraft:small_amethyst_bud,77,8
minecraft:soul_soil,941,22
minecraft:warped_roots,1383,14
minecraft:crimson_pressure_plate,83,10
minecraft:lava_cauldron,6,3
minecraft:exposed_cut_copper_stairs,132,8
minecraft:exposed_cut_copper_slab,131,6
minecraft:weathered_cut_copper_slab,254,4
minecraft:weathered_cut_copper,728,4
minecraft:sculk_catalyst,1,1
minecraft:exposed_cut_copper,60,3
minecraft:exposed_copper,226,5
minecraft:waxed_exposed_cut_copper,393,5
minecraft:crimson_fence_gate,286,8
minecraft:mangrove_propagule,462,2
minecraft:mangrove_log,2309,2
minecraft:cut_copper,160,2
minecraft:copper_block,1410,6
minecraft:potted_crimson_roots,21,13
minecraft:potted_warped_roots,17,13
minecraft:crimson_roots,179,12
minecraft:bamboo_fence,105,4
minecraft:bamboo_door,28,2
minecraft:cherry_planks,1,1
minecraft:cherry_stairs,87,3
minecraft:bamboo_trapdoor,243,7
minecraft:bamboo_block,79,3
minecraft:pink_petals,186,5
minecraft:cherry_button,2,1
minecraft:cherry_wall_hanging_sign,2,1
minecraft:nether_sprouts,235,9
minecraft:cut_copper_stairs,172,6
minecraft:soul_fire_lantern,28,1
minecraft:soul_fire,48,8
minecraft:cherry_sapling,41,2
minecraft:powder_snow,1749,6
minecraft:cut_copper_slab,28,3
minecraft:cherry_log,497,3
minecraft:dark_oak_wall_hanging_sign,41,3
minecraft:suspicious_sand,22,1
minecraft:cherry_trapdoor,45,3
minecraft:red_candle_cake,3,1
minecraft:piglin_wall_head,95,2
minecraft:cherry_fence_gate,1,1
minecraft:dark_oak_hanging_sign,4,2
minecraft:bamboo_mosaic_slab,2,1
minecraft:bamboo_fence_gate,5,1
minecraft:bamboo_planks,11,1
minecraft:birch_hanging_sign,1,1
minecraft:stripped_cherry_wood,2,1
minecraft:azalea_leaves_flowers,37,1
minecraft:cracked_nether_bricks,68,3
minecraft:powder_snow_cauldron,1,1
minecraft:moving_piston,1,1
minecraft:cherry_wood,477,1
minecraft:bamboo_pressure_plate,12,1
