Block,total_occurences,sample_occurences
minecraft:command_block,12519,992
minecraft:sticky_piston,25208,1737
minecraft:birch_pressure_plate,328,68
minecraft:piston_head,26154,1995
minecraft:birch_wall_sign,5224,182
minecraft:cut_sandstone_slab,18115,89
minecraft:sandstone_wall,20353,130
minecraft:sandstone_slab,517031,1658
minecraft:redstone_torch,62289,2649
minecraft:red_sandstone,304559,211
minecraft:iron_door,54077,3015
minecraft:brown_concrete_powder,21125,47
minecraft:rose_bush,33683,2052
minecraft:podzol,1354539,805
minecraft:acacia_leaves,990875,1062
minecraft:dead_horn_coral_fan,660,31
minecraft:oak_fence,1476164,6280
minecraft:stripped_oak_wood,72273,131
minecraft:oak_pressure_plate,42712,2716
minecraft:oak_fence_gate,25668,2258
minecraft:spruce_sapling,8644,123
minecraft:spruce_wall_sign,5995,214
minecraft:jungle_button,493,20
minecraft:spruce_fence_gate,63628,421
minecraft:mossy_stone_brick_stairs,2475,65
minecraft:stone_stairs,33008,222
minecraft:spruce_trapdoor,78827,484
minecraft:spruce_button,2411,94
minecraft:dead_horn_coral_block,304,22
minecraft:mossy_cobblestone,505489,2090
minecraft:mossy_stone_bricks,259422,996
minecraft:stone_brick_wall,59749,252
minecraft:observer,2983,139
minecraft:dead_bush,72047,2452
minecraft:stone_slab,70647,280
minecraft:cobweb,169414,1975
minecraft:chiseled_stone_bricks,495229,1536
minecraft:comparator,3955,474
minecraft:spruce_pressure_plate,648,66
minecraft:mossy_cobblestone_stairs,4642,73
minecraft:mossy_cobblestone_slab,7070,92
minecraft:green_concrete_powder,54496,59
minecraft:smooth_stone,1215708,509
minecraft:potted_allium,696,100
minecraft:birch_wood,7303,41
minecraft:smooth_quartz_slab,106738,280
minecraft:cyan_concrete,90490,103
minecraft:nether_brick_wall,1593,50
minecraft:black_carpet,84925,1005
minecraft:light_blue_carpet,22037,484
minecraft:prismarine_brick_slab,5191,57
minecraft:potted_poppy,7553,905
minecraft:potted_lily_of_the_valley,386,118
minecraft:potted_cornflower,413,131
minecraft:potted_dandelion,5846,719
minecraft:light_blue_terracotta,237972,497
minecraft:dark_oak_fence,110975,828
minecraft:chest,158797,5908
minecraft:lantern,38555,507
minecraft:dark_oak_trapdoor,34633,313
minecraft:jukebox,13330,1727
minecraft:andesite_wall,14426,180
minecraft:dark_oak_wall_sign,4552,172
minecraft:red_nether_brick_wall,5671,41
minecraft:green_carpet,58339,604
minecraft:potted_red_tulip,426,110
minecraft:birch_trapdoor,15867,239
minecraft:blue_wool,554538,1832
minecraft:blue_concrete,1214151,167
minecraft:light_blue_stained_glass_pane,53909,314
minecraft:black_bed,798,63
minecraft:campfire,6254,337
minecraft:lime_terracotta,509752,533
minecraft:birch_fence,65297,623
minecraft:gray_shulker_box,712,51
minecraft:dragon_egg,755,147
minecraft:bell,461,148
minecraft:light_blue_bed,370,54
minecraft:rail,183164,2123
minecraft:white_shulker_box,28475,90
minecraft:blast_furnace,1935,199
minecraft:lily_of_the_valley,2617,112
minecraft:potted_orange_tulip,1079,76
minecraft:cornflower,7560,256
minecraft:potted_pink_tulip,938,82
minecraft:oak_door,179025,4660
minecraft:iron_block,3670205,3492
minecraft:light_blue_shulker_box,432,38
minecraft:smoker,1300,201
minecraft:bamboo_sapling,27,12
minecraft:pink_bed,220,30
minecraft:barrier,6010969,587
minecraft:dark_oak_fence_gate,6068,323
minecraft:barrel,16825,374
minecraft:end_portal_frame,5642,387
minecraft:composter,1630,175
minecraft:daylight_detector,28789,830
minecraft:dark_prismarine,129584,283
minecraft:cyan_carpet,18293,441
minecraft:crafting_table,36245,3557
minecraft:cartography_table,502,119
minecraft:nether_brick_stairs,329079,1345
minecraft:scaffolding,5712,177
minecraft:lectern,1876,198
minecraft:white_bed,4889,112
minecraft:cake,79509,921
minecraft:prismarine_wall,2205,41
minecraft:loom,3220,180
minecraft:yellow_bed,516,60
minecraft:fletching_table,216,69
minecraft:lily_pad,111330,1882
minecraft:smooth_quartz,937412,329
minecraft:polished_andesite_slab,42684,199
minecraft:oxeye_daisy,57702,2924
minecraft:seagrass,21718,195
minecraft:light_gray_concrete,365466,290
minecraft:yellow_concrete,83857,223
minecraft:orange_concrete,44657,109
minecraft:dispenser,19319,1783
minecraft:black_wool,2184879,3113
minecraft:powered_rail,74054,954
minecraft:detector_rail,6661,483
minecraft:farmland,355154,1829
minecraft:carrots,31311,630
minecraft:wheat,259910,1643
minecraft:potatoes,305277,677
minecraft:redstone_block,126704,1281
minecraft:cactus,52072,1803
minecraft:terracotta,8743829,474
minecraft:clay,1448682,7791
minecraft:sweet_berry_bush,2141,72
minecraft:birch_button,4576,113
minecraft:gray_bed,431,54
minecraft:stripped_oak_log,23064,121
minecraft:smooth_sandstone,619447,251
minecraft:smooth_sandstone_stairs,63089,158
minecraft:grindstone,1620,184
minecraft:cyan_bed,370,56
minecraft:potted_cactus,1552,335
minecraft:green_bed,1406,53
minecraft:smooth_sandstone_slab,37793,147
minecraft:potted_red_mushroom,3701,250
minecraft:potted_brown_mushroom,799,249
minecraft:purple_bed,140,34
minecraft:potted_bamboo,278,59
minecraft:sea_pickle,1605,165
minecraft:potted_wither_rose,120,47
minecraft:brick_slab,412179,1090
minecraft:brown_bed,1071,57
minecraft:stonecutter,233,106
minecraft:smithing_table,1413,129
minecraft:iron_ore,8051411,10180
minecraft:gold_ore,658808,2245
minecraft:blue_bed,411,55
minecraft:blue_carpet,27508,571
minecraft:potted_dead_bush,817,216
minecraft:orange_bed,229,36
minecraft:cave_air,267355,257
minecraft:potted_acacia_sapling,299,55
minecraft:potted_jungle_sapling,1776,415
minecraft:stripped_jungle_wood,16934,51
minecraft:potted_dark_oak_sapling,241,74
minecraft:potted_birch_sapling,1223,402
minecraft:potted_spruce_sapling,1702,428
minecraft:smooth_quartz_stairs,99392,267
minecraft:jungle_trapdoor,8161,153
minecraft:bedrock,39801735,3519
minecraft:emerald_block,122237,709
minecraft:nether_brick_slab,259536,1005
minecraft:beacon,58987,1219
minecraft:yellow_terracotta,1300951,740
minecraft:birch_fence_gate,144208,217
minecraft:gray_stained_glass_pane,97682,439
minecraft:bed,93946,3608
minecraft:banner,11510,189
minecraft:mossy_cobblestone_wall,25495,460
minecraft:redstone_ore,533637,1494
minecraft:lapis_ore,281596,2080
minecraft:diamond_ore,98934,1459
minecraft:vine,5558415,2969
minecraft:wall_skull,7305,463
minecraft:enchanting_table,5010,1667
minecraft:purple_wool,140654,803
minecraft:soul_sand,117846,530
minecraft:red_sand,2415509,340
minecraft:acacia_planks,252421,561
minecraft:orange_terracotta,4288574,630
minecraft:red_terracotta,1871627,1032
minecraft:brown_stained_glass_pane,18087,132
minecraft:purple_stained_glass_pane,8386,115
minecraft:acacia_slab,84311,477
minecraft:brown_stained_glass,17257,135
minecraft:jungle_door,3739,282
minecraft:black_stained_glass_pane,196173,884
minecraft:light_gray_stained_glass_pane,83908,464
minecraft:polished_granite,172274,362
minecraft:smooth_red_sandstone_stairs,5151,53
minecraft:jungle_slab,96017,808
minecraft:gold_block,1245904,1761
minecraft:fire_coral,215,34
minecraft:tube_coral_block,489,27
minecraft:obsidian,1260861,2147
minecraft:brain_coral,250,30
minecraft:tube_coral,198,38
minecraft:horn_coral_wall_fan,105,16
minecraft:bubble_coral_wall_fan,72,15
minecraft:fire_coral_block,581,24
minecraft:jungle_stairs,109913,980
minecraft:acacia_pressure_plate,121,17
minecraft:acacia_stairs,58662,471
minecraft:acacia_door,7714,382
minecraft:smooth_red_sandstone_slab,4910,44
minecraft:brown_concrete,39702,79
minecraft:dark_prismarine_slab,41253,106
minecraft:lime_wool,233849,1277
minecraft:cyan_wool,311979,1098
minecraft:nether_brick_fence,200559,1732
minecraft:birch_log,1321140,5486
minecraft:jungle_log,1910924,1702
minecraft:lapis_block,364094,1283
minecraft:brown_wall_banner,696,55
minecraft:oak_sapling,637,128
minecraft:white_concrete_powder,25664,99
minecraft:acacia_fence,28041,237
minecraft:brown_banner,50,13
minecraft:skull,13238,1109
minecraft:mossy_stone_brick_slab,2004,55
minecraft:infested_cobblestone,25157,267
minecraft:acacia_trapdoor,7530,165
minecraft:yellow_glazed_terracotta,20409,85
minecraft:acacia_wall_sign,1263,61
minecraft:red_glazed_terracotta,57210,115
minecraft:polished_andesite_stairs,28621,209
minecraft:light_blue_glazed_terracotta,30793,67
minecraft:brown_glazed_terracotta,6383,80
minecraft:white_banner,350,55
minecraft:cyan_glazed_terracotta,7157,43
minecraft:light_gray_glazed_terracotta,5343,70
minecraft:dark_oak_log,2667589,1350
minecraft:polished_granite_stairs,7098,58
minecraft:light_weighted_pressure_plate,3681,331
minecraft:dead_tube_coral_fan,109,18
minecraft:dead_tube_coral,20,10
minecraft:dead_fire_coral,87,10
minecraft:dead_bubble_coral,8,4
minecraft:dead_brain_coral,87,12
minecraft:wither_rose,120,21
minecraft:peony,24703,1909
minecraft:cut_sandstone,2359191,1384
minecraft:smooth_red_sandstone,52280,67
minecraft:blue_terracotta,285821,435
minecraft:birch_sign,206,68
minecraft:acacia_wood,49254,79
minecraft:repeating_command_block,166,44
minecraft:pink_concrete,29340,68
minecraft:green_terracotta,657193,556
minecraft:packed_ice,346393,330
minecraft:red_sandstone_stairs,51256,192
minecraft:purpur_block,36997,75
minecraft:wall_banner,17228,631
minecraft:red_sandstone_slab,62639,203
minecraft:green_shulker_box,1710,44
minecraft:purpur_stairs,9138,107
minecraft:blue_glazed_terracotta,7908,70
minecraft:purpur_slab,6188,93
minecraft:pink_terracotta,123387,225
minecraft:yellow_concrete_powder,4166,42
minecraft:blue_stained_glass_pane,25706,224
minecraft:red_stained_glass_pane,22444,275
minecraft:black_glazed_terracotta,24026,77
minecraft:purpur_pillar,5561,52
minecraft:purple_concrete_powder,2763,23
minecraft:purple_concrete,23571,64
minecraft:magenta_terracotta,60728,170
minecraft:orange_stained_glass_pane,12291,161
minecraft:red_stained_glass,40846,394
minecraft:green_stained_glass_pane,11168,137
minecraft:magenta_carpet,2952,157
minecraft:purple_carpet,21718,259
minecraft:purple_terracotta,67972,192
minecraft:infested_chiseled_stone_bricks,11670,126
minecraft:orange_stained_glass,20908,242
minecraft:nether_bricks,663258,1123
minecraft:magenta_wool,74278,562
minecraft:lime_concrete,40590,101
minecraft:dark_oak_button,1897,85
minecraft:brown_mushroom_block,1109965,592
minecraft:stripped_birch_wood,35774,104
minecraft:jungle_wall_sign,947,71
minecraft:stripped_spruce_log,40896,144
minecraft:jungle_pressure_plate,327,25
minecraft:stripped_dark_oak_log,32707,87
minecraft:turtle_egg,147,43
minecraft:pink_carpet,3225,182
minecraft:spruce_sign,98,30
minecraft:light_gray_bed,642,58
minecraft:dead_fire_coral_fan,212,20
minecraft:pink_wall_banner,273,35
minecraft:light_gray_concrete_powder,23256,71
minecraft:brick_wall,4941,73
minecraft:granite_wall,5775,65
minecraft:diorite_wall,30944,167
minecraft:diorite_stairs,9014,58
minecraft:stripped_spruce_wood,31228,140
minecraft:diorite_slab,10861,63
minecraft:chipped_anvil,1097,216
minecraft:polished_diorite_slab,18298,124
minecraft:activator_rail,2625,140
minecraft:bee_nest,1736,48
minecraft:bee_hive,559,1
minecraft:dark_oak_pressure_plate,771,65
minecraft:yellow_stained_glass_pane,18768,226
minecraft:polished_diorite_stairs,14882,129
minecraft:bamboo,31202,82
minecraft:infested_stone_bricks,122765,480
minecraft:beetroots,6983,144
minecraft:ender_chest,3650,750
minecraft:skeleton_skull,1007,108
minecraft:zombie_head,97,38
minecraft:prismarine_slab,7977,29
minecraft:infested_stone,181205,1371
minecraft:lime_shulker_box,849,38
minecraft:yellow_shulker_box,452,44
minecraft:red_shulker_box,1611,51
minecraft:brown_shulker_box,13635,77
minecraft:pink_shulker_box,116,31
minecraft:jungle_fence_gate,6978,92
minecraft:blue_shulker_box,1425,60
minecraft:magenta_shulker_box,12946,44
minecraft:trapped_chest,9053,692
minecraft:brown_mushroom,66084,4408
minecraft:red_mushroom,14062,2419
minecraft:spawner,4330,1192
